"player","pos","sprint","bench","bar","pdhgt","overall_pick","games","win_shares"
"D.J. Augustin","PG",3.07,2,1.079,129.5,9,976,47.7
"Daequan Cook","SG",3.22,4,1.07,136,21,328,4.9
"DaJuan Summers","SF",3.17,15,1.069,141,35,83,-0.1
"Dajuan Wagner","PG-SG",3.22,16,1.017,134,6,103,0
"Dakari Johnson","C",3.62,4,1.036,137,48,31,0.6
"Damian Lillard","PG",3.34,13,1.081,135,6,711,94.1
"Damion James","SF",3.2,13,1.083,140,24,39,0
"Damone Brown","SF",3.27,6,1.044,141.5,37,39,-0.7
"Damyean Dotson","SG-SF",3.13,13,1.059,138,44,213,3
"Dan Langhi","SF",3.24,12,0.988,138.5,31,133,0.3
"Dan McClintock","C-PF",3.33,20,1.03,142,53,6,0
"Daniel Gafford","PF",3.25,5,1.062,146.5,38,169,11.3
"Daniel Orton","C",3.39,13,1.093,141,29,51,1
"Danny Green","SG-SF",3.3,15,1.061,136,46,819,49.1
"Dante Cunningham","PF",3.26,18,1.051,141.5,33,715,24.9
"Darius Bazley","PF",3.27,4,1.053,144,23,185,1.8
"Darius Johnson-Odom","SG",3.21,17,1.075,137.5,55,7,-0.3
"Darius Miller","SF-SG",3.31,14,1.038,138,46,271,6.5
"Darius Morris","PG-SG",3.2,12,1.056,134,41,132,-0.3
"Darius Songaila","PF",3.52,8,1.063,138,50,495,15.9
"Darnell Jackson","PF",3.26,11,1.054,137.5,52,138,1.3
"Darrell Arthur","PF",3.14,12,1.041,137,27,503,12.3
"Darren Collison","PG",3.1,9,1.038,130,21,711,49.9
"David Lee","PF",3.19,14,1.053,139,30,829,76
"David Noel","SF-SG",3.07,20,1.065,138.5,39,68,0.4
"David West","PF-SF",3.43,11,1.1,139.8,18,1034,85.9
"Davon Reed","SG-SF",3.34,12,1.098,138,32,79,1.4
"DeAndre Jordan","C",3.27,8,1.101,144,35,980,94.4
"DeAndre Liggins","SF-SG",3.33,6,1.078,134.5,53,177,1.6
"DeJuan Blair","PF",3.45,18,1.113,139.5,37,424,19
"Delon Wright","PG",3.29,4,1.043,132.5,20,411,22.8
"Delonte West","PG-SG",3.15,12,1.061,134.5,24,432,24.5
"DeMar DeRozan","SG-SF",3.31,5,1.045,141,9,957,83.7
"Demetris Nichols","SF",3.38,16,1.08,137.5,53,18,-0.2
"Deron Williams","PG",3.25,15,1.061,133,3,845,77.3
"Derrick Brown","SF-PF",3.13,20,1.088,143,40,171,4.5
"Derrick Caracter","PF",3.61,22,1.05,138,58,41,0.3
"Derrick Favors","PF",3.25,14,1.09,145.5,3,790,60.2
"Derrick Rose","PG",3.05,10,1.088,138.5,1,672,44.2
"Derrick White","PG",3.08,10,1.056,138,29,263,15.3
"Derrick Williams","PF-SF",3.23,19,1.079,142.5,2,428,14.1
"Derrick Zimmerman","PG",3.1,13,1.11,136.8,40,2,0
"DeSagana Diop","C",3.56,15,1.104,138.5,8,601,12.8
"Devin Booker","SG",3.28,8,1.049,137,13,477,29.9
"Devin Ebanks","SF",3.44,6,1.066,139.5,43,63,0.5
"Devin Harris","PG",3.19,5,1.078,135.5,5,985,54.9
"Devon Hall","SG",3.27,6,1.046,133,53,11,-0.2
"Dewan Hernandez","C",3.28,13,1.059,142.5,59,6,0
"Dillon Brooks","SG-SF",3.21,16,1.013,138,45,272,5.3
"Dominic McGuire","SF",3.25,12,1.044,138.5,47,342,4.1
