"player","pos","sprint","bench","bar","pdhgt","overall_pick","games","win_shares"
"Ray Spalding","PF",3.34,12,1.096,141,56,16,0.1
"Raymond Felton","PG",3.06,6,1.066,131.5,5,971,40.2
"Reggie Bullock","SG-SF",3.31,11,1.039,138.5,25,434,18.1
"Renaldo Balkman","SF-PF",3.22,9,1.1,139.5,20,221,7.2
"Richard Jefferson","SF",3.15,14,1.06,141.5,13,1181,83
"Richaun Holmes","PF",3.32,15,1.065,144,37,376,26.6
"Ricky Ledo","SG",3.32,4,1.033,136,43,28,-0.6
"Robbie Hummel","SF",3.41,13,1.016,132,58,98,1.9
"Robert Archibald","PF-C",3.33,10,1.021,137,32,44,0
"Robert Whaley","PF-C",3.25,15,1.075,141.5,51,23,0
"Rodney Carney","SG-SF",3.06,10,1.072,142,16,299,6.2
"Rodney Stuckey","SG-PG",3.11,14,1.046,135.5,15,651,28.7
"Rodney White","SF",3.47,16,1.05,137.5,9,218,1.8
"Rodrigue Beaubois","PG",3.15,3,1.116,139,25,182,4.8
"Ronald Murray","SG",3.16,9,1.06,137,42,487,8.5
"Rondae Hollis-Jefferson","SF",3.12,13,1.11,142,23,305,12.9
"Ronnie Brewer","SG-PG",3.14,19,1.071,144.5,14,502,30.4
"Ronny Turiaf","PF",3.23,15,1.069,139.5,37,473,19.2
"Ruben Boumtje-Boumtje","C",3.33,6,1.054,142,50,44,0.2
"Rudy Gay","SF-PF",3.32,9,1.101,148,8,1064,60.7
"Rudy Gobert","C",3.57,7,1.095,144,27,611,86.6
"Russell Westbrook","PG",3.08,12,1.074,136.5,4,1021,106.5
"Ryan Gomes","SF-PF",3.24,9,1.096,137,50,487,19.4
"Ryan Humphrey","PF-SF",3.2,13,1.077,142,19,85,-0.4
"Sam Dekker","SF",3.28,5,1.047,140.5,18,201,5.4
"Sasha Kaun","C-PF",3.2,13,1.086,142,56,25,0.2
"Sean Lampley","SF",3.12,12,1.048,141,45,45,1.1
"Sean May","PF",3.29,12,1.079,138,13,119,2.6
"Semi Ojeleye","SF-SG",3.16,19,1.058,142.5,37,284,5.2
"Shabazz Muhammad","SF-SG",3.32,10,1.081,141.5,14,278,8.5
"Shake Milton","SG-PG",3.25,2,1.108,132.5,54,178,6.9
"Shane Battier","SF-PF",3.3,12,1.028,138,6,977,75.7
"Shane Larkin","PG",3.08,12,1.007,133.5,18,256,4.4
"Shelden Williams","PF-C",3.59,25,1.11,137.5,5,361,9.9
"Shelvin Mack","PG",3.18,17,1.089,135.5,34,456,10.3
"Sindarius Thornwell","SG-SF",3.36,15,1.086,133.5,48,160,1.1
"Solomon Alabi","C",3.68,10,1.066,139,50,26,0
"Solomon Hill","SF",3.19,14,1.045,140.5,23,448,11.9
"Solomon Jones","PF-C",3.3,6,1.102,148,33,281,5
"Sonny Weems","SG-SF",2.96,12,1.079,140.5,39,183,0
"Speedy Claxton","PG",3.06,6,1.021,137,20,334,14.2
"Spencer Hawes","PF",3.51,9,1.03,139,10,684,22.6
"Stephen Curry","PG-SG",3.28,10,1.02,132.5,7,826,120.2
"Steve Novak","SF",3.37,5,1.019,134,32,467,14.5
"Steven Adams","C",3.4,16,1.069,142.5,12,664,56
"Steven Hunter","C-PF",3.15,11,1.07,146.5,15,400,10.6
"Svi Mykhailiuk","SG-SF",3.53,8,0.981,133,47,220,2.5
"T.J. Ford","PG",3.2,0,1.007,133,8,429,16.9
"Taj Gibson","PF",3.41,12,1.093,139,26,896,58.9
"Talen Horton-Tucker","SG",3.34,10,1.144,137.5,46,131,3.3
"Tamar Slay","SF",3.09,11,1.06,142,54,66,-0.3
"Taurean Green","PG",3.26,8,1.046,128.5,52,17,-0.1
"Terance Mann","SG-SF",3.3,6,1.039,139.5,48,189,10
"Terrence Jones","PF-SF",3.4,12,1.075,141.5,18,234,14.7
"Terrence Ross","SG-SF",3.28,2,1.016,138,8,670,23.4
"Terrence Williams","SG-SF",3.18,9,1.052,140.5,11,153,-0.2
"Terry Rozier","PG-SG",3.15,7,1.107,136.5,16,477,24
"Thaddeus Young","SF",3.19,13,1.074,143,12,1085,68.9
"Thomas Bryant","PF-C",3.37,7,1.104,145.5,42,170,11.6
"Thomas Robinson","PF",3.17,15,1.094,141.5,5,313,4.6
"Tiago Splitter","C-PF",3.38,8,1.046,141,28,355,25.3
"Tito Maddox","PG",3.24,0,1.027,131.5,38,9,0
"Tobias Harris","SF-PF",3.17,12,1.057,141,19,753,58.4
"Toney Douglas","PG",3.03,15,1.068,130,29,394,12.1
"Tony Allen","SG",3.19,17,1.073,138.5,25,820,38.7
"Tony Bradley","C",3.44,5,1.095,140,28,167,7.4
"Tony Mitchell","PF-SF",3.52,13,1.088,144.5,37,21,0.2
"Tony Snell","SF-SG",3.25,7,1.071,142,20,601,18.5
"Tony Wroten","PG",3.24,0,1.055,136.5,25,145,-1.3
"Travis Diener","PG-SG",3.26,1,1,124.5,38,179,5.6
"Travis Hansen","SG",3.18,16,1.026,135.5,37,41,0.2
"Travis Leslie","SG",3.13,10,1.1,143.5,47,10,0.1
"Tremont Waters","PG",3.07,5,1.068,134,51,40,0.1
"Trenton Hassell","SG-SF",3.29,12,1.049,137,30,644,13.8
"Trevor Ariza","SG-SF",3.29,8,1.089,139.5,43,1118,64.3
"Trevor Booker","PF",3.1,22,1.045,142,23,532,26.2
"Trey Burke","PG",3.16,3,1.08,134,9,498,12.9
"Trey Thompkins","PF",3.41,15,1.056,138,37,24,0
"Tristan Thompson","PF",3.26,9,1.072,143.5,4,730,47.6
"Troy Bell","PG",3.06,17,1.066,138.5,16,6,-0.2
"Troy Murphy","PF",3.43,11,1.015,140,14,729,50.3
"Ty Jerome","PG",3.4,2,0.997,129.5,24,112,1.8
"Ty Lawson","PG",3.12,14,1.021,131,18,551,42.1
"Tyler Dorsey","SG",3.16,8,1.03,135.5,41,104,1
"Tyler Hansbrough","PF",3.27,18,1.04,140,13,428,20.2
"Tyler Lydon","PF",3.46,1,1.047,141,24,26,0.2
"Tyler Zeller","PF-C",3.4,16,1.009,138.5,17,414,17.1
"Tyreke Evans","PG-SG",3.17,7,1.095,138,4,594,28.4
"Tyrus Thomas","PF-SF",3.2,8,1.098,147.5,4,402,13
"Tyshawn Taylor","PG",3.2,0,1.047,134,41,61,-0.9
"Tyson Chandler","SF-PF",3.36,2,1.042,143.5,2,1160,102.1
"Tyus Jones","PG",3.32,2,1.062,129.5,24,455,19.3
"Victor Oladipo","SG",3.25,15,1.08,142.5,2,462,25.1
"Vincent Yarbrough","SF",3.32,10,1.09,138.5,33,59,1
"Wayne Ellington","SG",3.2,13,1.03,138,28,770,21.1
"Wayne Simien","PF",3.35,11,1.06,134.5,29,51,0.9
"Wesley Johnson","SF",3.14,16,1.086,143,4,609,10.7
"Will Barton","SG-SF",3.6,0,1.062,136.5,40,623,26
"Will Blalock","PG",3.18,8,1.095,136.5,60,14,-0.1
"Will Solomon","PG-SG",3.22,4,1.136,134.5,33,115,0
"Willie Green","SG-PG",3.19,13,1.064,128.5,41,731,12.9
"Willie Warren","SG-PG",3.5,10,1.047,131,54,19,0.2
"Xavier Henry","SG",3.18,8,1.078,141.5,12,185,0.8
"Zhaire Smith","SF-SG",3.05,10,1.094,141.5,16,13,0
