"player","sprint","bench","wngspan_hgt","jumping_reach","overall_pick","games","win_shares","genpos"
"Pape Sow",3.27,18,1.068,140,47,76,0.8,"Big"
"Pat Connaughton",3.2,13,1.053,140,41,417,18.1,"Guard"
"Patrick O'Bryant",3.63,13,1.081,143,9,90,0.5,"Big"
"Patrick Patterson",3.25,17,1.066,140.5,14,719,31.9,"Big"
"Patty Mills",3.1,8,1.039,128,55,820,35.3,"Guard"
"Paul Millsap",3.3,15,1.093,138,47,1085,95.4,"Big"
"Pavel Podkolzin",3.8,5,1.026,138.5,21,6,-0.1,"Big"
"Perry Jones",3.19,11,1.043,145.5,28,143,1.7,"Wing"
"Peyton Siva",3.16,15,1.049,134.5,56,24,-0.2,"Guard"
"Quincy Acy",3.28,13,1.105,143.5,37,337,8.7,"Big"
"Quincy Miller",3.48,8,1.056,141,38,69,-0.1,"Wing"
"Qyntel Woods",3.23,2,1.038,139.5,21,167,1.4,"Wing"
"R.J. Hunter",3.26,1,1.078,137.5,28,45,0.4,"Guard"
"Rakeem Christmas",3.47,9,1.112,142.5,36,30,0.5,"Big"
"Ramon Sessions",3.27,8,1.03,131,56,691,28.8,"Guard"
"Randy Foye",3.23,14,1.054,135,7,752,23.5,"Guard"
"Randy Holcomb",3.22,15,1.076,140.5,57,4,0,"Wing"
"Rashad McCants",3.11,15,1.107,138,14,249,3.6,"Guard"
"Rashad Vaughn",3.21,5,1.043,135,17,139,-0.6,"Guard"
"Rasual Butler",3.29,10,1.067,143,53,809,20.8,"Wing"
"Ray McCallum",3.25,5,1.042,136.5,36,154,2.1,"Guard"
"Ray Spalding",3.34,12,1.096,141,56,16,0.1,"Big"
"Raymond Felton",3.06,6,1.066,131.5,5,971,40.2,"Guard"
"Reggie Bullock",3.31,11,1.039,138.5,25,434,18.1,"Wing"
"Renaldo Balkman",3.22,9,1.1,139.5,20,221,7.2,"Wing"
"Richard Jefferson",3.15,14,1.06,141.5,13,1181,83,"Wing"
"Richaun Holmes",3.32,15,1.065,144,37,376,26.6,"Big"
"Ricky Ledo",3.32,4,1.033,136,43,28,-0.6,"Guard"
"Robbie Hummel",3.41,13,1.016,132,58,98,1.9,"Wing"
"Robert Archibald",3.33,10,1.021,137,32,44,0,"Big"
"Robert Whaley",3.25,15,1.075,141.5,51,23,0,"Big"
"Rodney Carney",3.06,10,1.072,142,16,299,6.2,"Wing"
"Rodney Stuckey",3.11,14,1.046,135.5,15,651,28.7,"Guard"
"Rodney White",3.47,16,1.05,137.5,9,218,1.8,"Wing"
"Rodrigue Beaubois",3.15,3,1.116,139,25,182,4.8,"Guard"
"Ronald Murray",3.16,9,1.06,137,42,487,8.5,"Guard"
"Rondae Hollis-Jefferson",3.12,13,1.11,142,23,305,12.9,"Wing"
"Ronnie Brewer",3.14,19,1.071,144.5,14,502,30.4,"Guard"
"Ronny Turiaf",3.23,15,1.069,139.5,37,473,19.2,"Big"
"Ruben Boumtje-Boumtje",3.33,6,1.054,142,50,44,0.2,"Big"
"Rudy Gay",3.32,9,1.101,148,8,1064,60.7,"Wing"
"Rudy Gobert",3.57,7,1.095,144,27,611,86.6,"Big"
"Russell Westbrook",3.08,12,1.074,136.5,4,1021,106.5,"Guard"
"Ryan Gomes",3.24,9,1.096,137,50,487,19.4,"Wing"
"Ryan Humphrey",3.2,13,1.077,142,19,85,-0.4,"Wing"
"Sam Dekker",3.28,5,1.047,140.5,18,201,5.4,"Wing"
"Sasha Kaun",3.2,13,1.086,142,56,25,0.2,"Big"
"Sean Lampley",3.12,12,1.048,141,45,45,1.1,"Wing"
"Sean May",3.29,12,1.079,138,13,119,2.6,"Big"
"Semi Ojeleye",3.16,19,1.058,142.5,37,284,5.2,"Wing"
"Shabazz Muhammad",3.32,10,1.081,141.5,14,278,8.5,"Wing"
"Shake Milton",3.25,2,1.108,132.5,54,178,6.9,"Guard"
"Shane Battier",3.3,12,1.028,138,6,977,75.7,"Wing"
"Shane Larkin",3.08,12,1.007,133.5,18,256,4.4,"Guard"
"Shelden Williams",3.59,25,1.11,137.5,5,361,9.9,"Big"
"Shelvin Mack",3.18,17,1.089,135.5,34,456,10.3,"Guard"
"Sindarius Thornwell",3.36,15,1.086,133.5,48,160,1.1,"Wing"
"Solomon Alabi",3.68,10,1.066,139,50,26,0,"Big"
"Solomon Hill",3.19,14,1.045,140.5,23,448,11.9,"Wing"
"Solomon Jones",3.3,6,1.102,148,33,281,5,"Big"
"Sonny Weems",2.96,12,1.079,140.5,39,183,0,"Wing"
"Speedy Claxton",3.06,6,1.021,137,20,334,14.2,"Guard"
"Spencer Hawes",3.51,9,1.03,139,10,684,22.6,"Big"
"Stephen Curry",3.28,10,1.02,132.5,7,826,120.2,"Guard"
"Steve Novak",3.37,5,1.019,134,32,467,14.5,"Wing"
"Steven Adams",3.4,16,1.069,142.5,12,664,56,"Big"
"Steven Hunter",3.15,11,1.07,146.5,15,400,10.6,"Big"
"Svi Mykhailiuk",3.53,8,0.981,133,47,220,2.5,"Wing"
"T.J. Ford",3.2,0,1.007,133,8,429,16.9,"Guard"
"Taj Gibson",3.41,12,1.093,139,26,896,58.9,"Big"
"Talen Horton-Tucker",3.34,10,1.144,137.5,46,131,3.3,"Guard"
"Tamar Slay",3.09,11,1.06,142,54,66,-0.3,"Wing"
"Taurean Green",3.26,8,1.046,128.5,52,17,-0.1,"Guard"
"Terance Mann",3.3,6,1.039,139.5,48,189,10,"Wing"
"Terrence Jones",3.4,12,1.075,141.5,18,234,14.7,"Wing"
"Terrence Ross",3.28,2,1.016,138,8,670,23.4,"Wing"
"Terrence Williams",3.18,9,1.052,140.5,11,153,-0.2,"Wing"
"Terry Rozier",3.15,7,1.107,136.5,16,477,24,"Guard"
"Thaddeus Young",3.19,13,1.074,143,12,1085,68.9,"Wing"
"Thomas Bryant",3.37,7,1.104,145.5,42,170,11.6,"Big"
"Thomas Robinson",3.17,15,1.094,141.5,5,313,4.6,"Big"
"Tiago Splitter",3.38,8,1.046,141,28,355,25.3,"Big"
"Tito Maddox",3.24,0,1.027,131.5,38,9,0,"Guard"
"Tobias Harris",3.17,12,1.057,141,19,753,58.4,"Wing"
"Toney Douglas",3.03,15,1.068,130,29,394,12.1,"Guard"
"Tony Allen",3.19,17,1.073,138.5,25,820,38.7,"Guard"
"Tony Bradley",3.44,5,1.095,140,28,167,7.4,"Big"
"Tony Mitchell",3.52,13,1.088,144.5,37,21,0.2,"Wing"
"Tony Snell",3.25,7,1.071,142,20,601,18.5,"Wing"
"Tony Wroten",3.24,0,1.055,136.5,25,145,-1.3,"Guard"
"Travis Diener",3.26,1,1,124.5,38,179,5.6,"Guard"
"Travis Hansen",3.18,16,1.026,135.5,37,41,0.2,"Guard"
"Travis Leslie",3.13,10,1.1,143.5,47,10,0.1,"Guard"
"Tremont Waters",3.07,5,1.068,134,51,40,0.1,"Guard"
"Trenton Hassell",3.29,12,1.049,137,30,644,13.8,"Wing"
"Trevor Ariza",3.29,8,1.089,139.5,43,1118,64.3,"Wing"
"Trevor Booker",3.1,22,1.045,142,23,532,26.2,"Big"
"Trey Burke",3.16,3,1.08,134,9,498,12.9,"Guard"
"Trey Thompkins",3.41,15,1.056,138,37,24,0,"Big"
"Tristan Thompson",3.26,9,1.072,143.5,4,730,47.6,"Big"
"Troy Bell",3.06,17,1.066,138.5,16,6,-0.2,"Guard"
"Troy Murphy",3.43,11,1.015,140,14,729,50.3,"Big"
"Ty Jerome",3.4,2,0.997,129.5,24,112,1.8,"Guard"
"Ty Lawson",3.12,14,1.021,131,18,551,42.1,"Guard"
"Tyler Dorsey",3.16,8,1.03,135.5,41,104,1,"Guard"
"Tyler Hansbrough",3.27,18,1.04,140,13,428,20.2,"Big"
"Tyler Lydon",3.46,1,1.047,141,24,26,0.2,"Big"
"Tyler Zeller",3.4,16,1.009,138.5,17,414,17.1,"Big"
"Tyreke Evans",3.17,7,1.095,138,4,594,28.4,"Guard"
"Tyrus Thomas",3.2,8,1.098,147.5,4,402,13,"Wing"
"Tyshawn Taylor",3.2,0,1.047,134,41,61,-0.9,"Guard"
"Tyson Chandler",3.36,2,1.042,143.5,2,1160,102.1,"Wing"
"Tyus Jones",3.32,2,1.062,129.5,24,455,19.3,"Guard"
"Victor Oladipo",3.25,15,1.08,142.5,2,462,25.1,"Guard"
"Vincent Yarbrough",3.32,10,1.09,138.5,33,59,1,"Wing"
"Wayne Ellington",3.2,13,1.03,138,28,770,21.1,"Guard"
"Wayne Simien",3.35,11,1.06,134.5,29,51,0.9,"Big"
"Wesley Johnson",3.14,16,1.086,143,4,609,10.7,"Wing"
"Will Barton",3.6,0,1.062,136.5,40,623,26,"Wing"
"Will Blalock",3.18,8,1.095,136.5,60,14,-0.1,"Guard"
"Will Solomon",3.22,4,1.136,134.5,33,115,0,"Guard"
"Willie Green",3.19,13,1.064,128.5,41,731,12.9,"Guard"
"Willie Warren",3.5,10,1.047,131,54,19,0.2,"Guard"
"Xavier Henry",3.18,8,1.078,141.5,12,185,0.8,"Guard"
"Zhaire Smith",3.05,10,1.094,141.5,16,13,0,"Wing"
