"player","sprint","bench","wngspan_hgt","jumping_reach","overall_pick","games","win_shares","genpos"
"Corey Brewer",3.22,11,1.029,139.5,7,819,22.5,"Wing"
"Corsley Edwards",3.31,12,1.044,139.5,58,10,0.1,"Big"
"Cory Joseph",3.27,5,1.047,134,29,728,28.7,"Guard"
"Craig Brackins",3.39,6,1.043,144,21,17,-0.2,"Wing"
"Curtis Borchardt",3.63,7,1.045,139,18,83,1,"Big"
"D.J. Augustin",3.07,2,1.079,129.5,9,976,47.7,"Guard"
"Daequan Cook",3.22,4,1.07,136,21,328,4.9,"Guard"
"DaJuan Summers",3.17,15,1.069,141,35,83,-0.1,"Wing"
"Dajuan Wagner",3.22,16,1.017,134,6,103,0,"Guard"
"Dakari Johnson",3.62,4,1.036,137,48,31,0.6,"Big"
"Damian Lillard",3.34,13,1.081,135,6,711,94.1,"Guard"
"Damion James",3.2,13,1.083,140,24,39,0,"Wing"
"Damone Brown",3.27,6,1.044,141.5,37,39,-0.7,"Wing"
"Damyean Dotson",3.13,13,1.059,138,44,213,3,"Wing"
"Dan Langhi",3.24,12,0.988,138.5,31,133,0.3,"Wing"
"Dan McClintock",3.33,20,1.03,142,53,6,0,"Big"
"Daniel Gafford",3.25,5,1.062,146.5,38,169,11.3,"Big"
"Daniel Orton",3.39,13,1.093,141,29,51,1,"Big"
"Danny Green",3.3,15,1.061,136,46,819,49.1,"Wing"
"Dante Cunningham",3.26,18,1.051,141.5,33,715,24.9,"Big"
"Darius Bazley",3.27,4,1.053,144,23,185,1.8,"Big"
"Darius Johnson-Odom",3.21,17,1.075,137.5,55,7,-0.3,"Guard"
"Darius Miller",3.31,14,1.038,138,46,271,6.5,"Wing"
"Darius Morris",3.2,12,1.056,134,41,132,-0.3,"Guard"
"Darius Songaila",3.52,8,1.063,138,50,495,15.9,"Big"
"Darnell Jackson",3.26,11,1.054,137.5,52,138,1.3,"Big"
"Darrell Arthur",3.14,12,1.041,137,27,503,12.3,"Big"
"Darren Collison",3.1,9,1.038,130,21,711,49.9,"Guard"
"David Lee",3.19,14,1.053,139,30,829,76,"Big"
"David Noel",3.07,20,1.065,138.5,39,68,0.4,"Wing"
"David West",3.43,11,1.1,139.8,18,1034,85.9,"Wing"
"Davon Reed",3.34,12,1.098,138,32,79,1.4,"Wing"
"DeAndre Jordan",3.27,8,1.101,144,35,980,94.4,"Big"
"DeAndre Liggins",3.33,6,1.078,134.5,53,177,1.6,"Wing"
"DeJuan Blair",3.45,18,1.113,139.5,37,424,19,"Big"
"Delon Wright",3.29,4,1.043,132.5,20,411,22.8,"Guard"
"Delonte West",3.15,12,1.061,134.5,24,432,24.5,"Guard"
"DeMar DeRozan",3.31,5,1.045,141,9,957,83.7,"Wing"
"Demetris Nichols",3.38,16,1.08,137.5,53,18,-0.2,"Wing"
"Deron Williams",3.25,15,1.061,133,3,845,77.3,"Guard"
"Derrick Brown",3.13,20,1.088,143,40,171,4.5,"Wing"
"Derrick Caracter",3.61,22,1.05,138,58,41,0.3,"Big"
"Derrick Favors",3.25,14,1.09,145.5,3,790,60.2,"Big"
"Derrick Rose",3.05,10,1.088,138.5,1,672,44.2,"Guard"
"Derrick White",3.08,10,1.056,138,29,263,15.3,"Guard"
"Derrick Williams",3.23,19,1.079,142.5,2,428,14.1,"Wing"
